probe_id,plot_id,start_date,start_time,end_date,end_time,lat,lon,location,height,org_layer,excess_length,probe_length,landuse,time_res,available,Hoehe_DGM,Landn,Expo,Inkl,BArt,BTyp,ESC,geometry
S04_007,PS062,05.05.2022,00:00,30.05.2022,23:59,50.214450,11.753370,Unfriedsdorf,581.00,0,0,90,arable_land,10,1,573.55,1500,197.68,3.11,30,3,1533,"c(696433.212337684, 5566102.88650297)"
S05_007,PS057,04.05.2022,00:00,01.06.2022,23:59,50.129520,11.925450,Kleinschloppen,592.00,0,0,90,meadow,10,1,595.43,1600,2.61,2.99,30,3,1633,"c(709078.534996652, 5557129.73637309)"
S06_007,PS058,04.05.2022,00:00,01.06.2022,23:59,50.118910,11.949850,Reicholdsgruen,557.00,0,0,90,meadow,10,1,554.52,1600,107.41,1.01,30,2,1632,"c(710868.743431468, 5556018.99127554)"
S08_007,PS059,04.05.2022,00:00,31.05.2022,23:59,50.098630,11.932850,Grub,601.00,0,0,90,meadow,10,1,596.08,1600,296.74,2.04,30,2,1632,"c(709742.310790337, 5553716.74021607)"
S09_007,PS064,05.05.2022,00:00,30.05.2022,23:59,50.190290,11.968400,Fahrenbuehl,565.00,0,0,90,arable_land,10,1,544.48,1500,166.61,4.01,50,4,1554,"c(711878.669696608, 5564006.24945594)"
S11_007,PS066,06.05.2022,00:00,30.05.2022,23:59,50.062280,11.764130,Hirschhaid,686.00,10,20,120,coniferous_forest,10,1,686.74,1100,220.20,4.71,60,3,1163,"c(697827.656167249, 5549215.44820283)"
S12_007,PS063,05.05.2022,00:00,01.06.2022,23:59,50.159310,11.896020,Kleiner Waldstein,749.00,10,40,120,coniferous_forest,10,1,742.60,1100,111.24,2.96,30,4,1134,"c(706846.92504257, 5560359.18619802)"
S14_007,PS065,05.05.2022,00:00,30.05.2022,23:59,50.218560,11.991840,Martinlamitz,605.00,10,30,120,coniferous_forest,10,1,588.33,1100,292.38,1.97,30,4,1134,"c(713425.304650741, 5567215.67455075)"
S02_008,PS071,02.06.2022,00:00,03.07.2022,23:59,50.058260,11.880500,Meierhof,722.00,10,20,120,coniferous_forest,10,1,723.46,1100,266.86,2.75,50,4,1154,"c(706172.243119041, 5549083.34955463)"
S03_008,PS072,02.06.2022,00:00,03.07.2022,23:59,50.110550,11.888180,Weissenstadt,646.00,0,20,90,arable_land,10,1,640.63,1500,36.87,3.65,50,4,1554,"c(706496.936108127, 5554917.20643739)"
S04_008,PS069,01.06.2022,00:00,05.07.2022,23:59,50.159240,11.771080,Wiesenthal,582.00,0,0,90,meadow,10,1,558.15,1600,195.62,2.39,30,4,1634,"c(697924.702979294, 5560012.31441627)"
