probe_id,plot_id,start_date,start_time,end_date,end_time,lat,lon,location,height,org_layer,excess_length,probe_length,landuse,time_res,available,Hoehe_DGM,Landn,Expo,Inkl,BArt,BTyp,ESC,geometry
S07_005,P0104,15.01.2022,00:00,20.01.2022,23:59,50.105065,11.922489,Grub,624,0,32,90,arable_land,10,1,624.14,1500,149.67,3.56,50,4,1554,"c(708973.443024256, 5554402.99476258)"
S07_006,P0105,22.01.2022,00:00,27.01.2022,23:59,50.176334,11.840065,Weissdorf,533,0,17,90,arable_land,10,1,533.14,1500,183.79,2.49,50,4,1554,"c(702778.860529879, 5562097.91717392)"
S07_007,P0106,29.01.2022,00:00,10.02.2022,23:59,50.120369,11.992307,Marktleuthen,570,0,3,90,arable_land,10,1,570.68,1500,128.95,3.36,50,4,1554,"c(713896.771626346, 5556302.03381508)"
S07_008,P0157,12.02.2022,00:00,06.03.2022,23:59,50.093766,11.800191,Kornbach,641,0,5,90,meadow,10,1,641.66,1600,290.16,2.7,30,4,1634,"c(700276.877066648, 5552811.66978506)"
S07_009,P0158,09.03.2022,00:00,13.03.2022,23:59,50.208789,11.92656,Baumersreuth,523,0,30,90,meadow,10,1,523.88,1600,160.82,2.09,30,3,1633,"c(708811.913944463, 5565944.537727)"
S07_010,P0159,15.03.2022,00:00,20.03.2022,23:59,50.220365,11.838654,Woelbersreuth,557,0,0,90,meadow,10,1,557.09,1600,4.14,4.45,30,3,1633,"c(702491.673363924, 5566988.73485793)"
S07_011,P0160,22.03.2022,00:00,24.03.2022,23:59,50.074263,11.966563,Gruen,570,0,27,90,meadow,10,1,571.2,1600,183.46,5.21,30,4,1634,"c(712260.576962516, 5551103.39493473)"
S07_012,P0161,26.03.2022,00:00,27.03.2022,23:59,50.119883,11.952959,Reicholdsgruen,555,0,17,90,meadow,10,1,556.61,1600,323.62,2.7,30,3,1633,"c(711086.672534215, 5556135.94216979)"
S07_013,P0162,29.03.2022,00:00,03.04.2022,23:59,50.174333,11.894972,Foermitz,566,0,30,90,meadow,10,1,566.09,1600,216.84,3.07,30,3,1633,"c(706707.23213014, 5562026.27222695)"
S07_014,P0156,05.04.2022,00:00,25.04.2022,23:59,50.073714,11.95415,Gruen,609,0,60,90,meadow,10,1,609.38,1600,137.2,3.16,30,3,1633,"c(711374.968166599, 5551007.15048194)"
