probe_id,plot_id,start_date,start_time,end_date,end_time,lat,lon,location,height,org_layer,excess_length,probe_length,landuse,time_res,available,Hoehe_DGM,Landn,Expo,Inkl,BArt,BTyp,ESC
Waldstein_1,Waldstein,30.03.2021,12:00,06.01.2022,11:00,50.143130,11.865700,Waldstein,776.00,10,0,90,coniferous_forest,60,0,774.22,1400,289.85,3.12,50,4,1454
Waldstein_2,Waldstein,06.01.2022,11:00,31.12.2022,00:00,50.143130,11.865700,Waldstein,776.00,10,0,90,coniferous_forest,10,0,774.22,1400,289.85,3.12,50,4,1454
S10_Voitsumra,PS022,05.01.2022,14:45,31.12.2022,00:00,50.089880,11.848750,Voitsumra,625.00,0,0,90,meadow,10,0,625.95,1600,141.03,1.25,30,3,1633
S0001,P0014,09.09.2021,11:10,11.11.2021,09:00,50.131389,11.922167,Kleinschloppen,615.00,0,30,90,meadow,30,0,617.30,1600,19.95,7.14,50,4,1654
S0002,P0007,09.09.2021,12:40,02.11.2021,14:00,50.142778,11.926278,Kirchenlamitz,686.00,10,0,120,coniferous_forest,30,0,667.46,1100,126.46,4.56,50,4,1154
S0003,P0013,09.09.2021,13:10,02.11.2021,13:00,50.079917,11.839944,Weissenhaid,706.00,0,0,90,meadow,30,0,700.45,1100,181.59,7.97,30,4,1134
S0004,P0025,09.09.2021,14:00,02.11.2021,12:00,50.153472,11.941694,Kirchenlamitz,611.00,0,0,90,arable_land,30,0,613.95,1500,58.53,2.51,50,4,1554
S0005,P0011,09.09.2021,16:10,11.11.2021,09:00,50.119972,11.992000,Marktleuthen,574.00,0,0,90,arable_land,30,0,573.45,1500,124.02,3.45,50,4,1554
S0006,P0047,10.09.2021,11:15,03.11.2021,12:00,50.147694,11.883833,Kleiner Waldstein,855.00,12,43,90,coniferous_forest,30,0,854.46,1100,118.85,0.80,50,4,1154
S0007,P0048,10.09.2021,13:20,03.11.2021,12:00,50.163028,11.880556,Waldstein,642.00,14,6,90,coniferous_forest,30,0,625.95,1100,201.95,7.13,30,4,1134
S0008,P0009,10.09.2021,14:40,03.11.2021,12:00,50.146472,11.848972,Reinersreuth,641.00,10,20,90,coniferous_forest,30,0,630.03,1100,244.20,8.77,50,2,1152
S0009,P0010,14.09.2021,08:50,04.11.2021,11:30,50.177389,11.898056,Foermitz,559.00,0,0,90,arable_land,30,0,559.99,1500,268.17,3.81,30,4,1534
S0010,P0005,14.09.2021,14:05,05.11.2021,09:30,50.093694,11.800167,Kornbach,641.00,0,0,90,meadow,30,0,641.48,1600,295.12,2.80,30,4,1634
S0011,P0008,17.09.2021,13:00,02.11.2021,11:00,50.175139,11.943611,Oberschieda,655.00,5,45,120,coniferous_forest,30,0,642.96,1100,141.01,6.55,30,4,1134
S0012,P0006,14.09.2021,14:55,04.11.2021,09:30,50.092222,11.806111,Kornbach,664.00,0,10,120,arable_land,30,0,664.79,1500,191.20,6.10,50,4,1554
S02_001,PS003,03.11.2021,11:30,07.12.2021,11:30,50.117790,11.953860,Reicholdsgrün,551.00,0,36,120,meadow,30,1,551.63,1600,338.96,0.50,30,2,1632
S03_001,PS001,03.11.2021,09:30,07.12.2021,10:00,50.081340,11.962100,Roeslau,608.00,0,2,90,arable_land,30,1,585.25,1500,153.33,5.27,50,4,1554
S04_001,PS002,03.11.2021,10:40,04.01.2022,13:30,50.099590,11.975920,Duernberg,574.00,0,2,90,arable_land,30,1,574.62,1500,25.78,3.29,40,4,1544
S06_001,PS008,05.11.2021,11:45,06.01.2022,11:30,50.141940,11.882070,Waldstein,799.00,10,0,90,coniferous_forest,30,1,800.90,1100,30.62,7.02,50,4,1154
S08_001,PS011,05.11.2021,15:00,08.12.2021,12:00,50.171070,11.914110,Hallerstein,653.00,14,22,90,coniferous_forest,30,1,659.80,1100,230.75,4.74,30,4,1134
S09_001,PS007,05.11.2021,11:00,04.01.2022,10:30,50.101170,11.784000,Kornbach,600.00,0,0,90,meadow,30,1,617.20,1600,219.42,7.36,30,4,1634
